jurisdiction,P,c_P,S,c_S,D3_perception,recognition_score,D3,divergence_flag,n_polls_used,n_articles,pct_polls_verified,confidence,notes
Louisiana,42.5,0.6,26.47,0.85,33.1,,33.1,FALSE,2,17,100%,medium,"P=42.5(c_P 0.6) = avg of two MATCH-verified 2025 LSU modes (46/39); the 2024 UNABLE wave was never in P. S=26.47(n=17,10 outlets,c_S 0.85); |P-S|=16.0; no divergence. Recognition pending."
Maine,37,1.0,23.08,0.65,31.5,,31.5,FALSE,1,13,100%,high,"P=37(c_P 1.0) + S=23.08(n=13,11 outlets,c_S 0.65); |P-S|=13.9; no divergence. Recognition pending."
Maryland,41,1.0,45.45,0.55,42.6,,42.6,FALSE,1,11,100%,high,"P=41 uses ONLY the MATCH-verified 2025 UMBC wave (DIRECT, n>=800 -> c_P=1.0); the UNABLE_TO_VERIFY 2026 wave (27%) dropped from P per strict rule (older verified data preferred over newer unverified). S=45.45(n=11,6 outlets,c_S=0.55); |P-S|=4.5; no divergence. Recognition pending."
Massachusetts,47,0.6,20.0,0.75,32.0,,32.0,TRUE,1,15,100%,medium,"P=47(c_P 0.6) + S=20.0(n=15,11 outlets,c_S 0.75); |P-S|=27.0; DIVERGENCE. Recognition pending."
Michigan,MISSING,0,30.0,0.75,30.0,,30.0,FALSE,0,15,N/A,low,"SENTIMENT-ONLY: MSU SOSS poll EXCLUDED from P per strict rule — source UNABLE_TO_VERIFY (image-based PDF, figure never confirmed on an openable page). D3_perception = S = 30.0 (n=15, 10 outlets, c_S=0.75). Divergence N/A. Recognition pending."
Minnesota,MISSING,0,25.0,0.6,25.0,,25.0,FALSE,0,12,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=25.0 (n=12,6 outlets,c_S 0.6). Recognition pending."
Mississippi,MISSING,0,55.56,0.9,55.6,,55.6,FALSE,0,18,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=55.56 (n=18,11 outlets,c_S 0.9). Recognition pending."
Missouri,MISSING,0,23.08,0.65,23.1,,23.1,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=23.08 (n=13,9 outlets,c_S 0.65). Recognition pending."
Montana,MISSING,0,35.71,0.7,35.7,,35.7,FALSE,0,14,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=35.71 (n=14,7 outlets,c_S 0.7). Recognition pending."
Nebraska,MISSING,0,22.22,0.45,22.2,,22.2,FALSE,0,9,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=22.22 (n=9,5 outlets,c_S 0.45). Recognition pending."
Nevada,MISSING,0,53.85,0.65,53.9,,53.9,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=53.85 (n=13,8 outlets,c_S 0.65). Recognition pending."
New Hampshire,MISSING,0,45.0,0.5,45.0,,45.0,FALSE,0,10,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=45.0 (n=10,6 outlets,c_S 0.5). Recognition pending. Confidence forced LOW: outlet-dominated."
New Jersey,49.0,0.6,53.57,0.7,51.5,,51.5,FALSE,1,14,100%,medium,"P=49.0(c_P 0.6) + S=53.57(n=14,12 outlets,c_S 0.7); |P-S|=4.6; no divergence. Recognition pending."
New Mexico,MISSING,0,46.15,0.65,46.2,,46.2,FALSE,0,13,N/A,low,"SENTIMENT-ONLY: Garrity poll EXCLUDED from P per strict institution-vs-people test — it measures trust in 'state government officials' (a collective category of PEOPLE, grouped with police/teachers), not the state-government institution/system. D3_perception = S = 46.15 (n=13, 8 outlets, c_S=0.65). Divergence N/A. Recognition pending."
New York,MISSING,0,28.57,0.7,28.6,,28.6,FALSE,0,14,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=28.57 (n=14,10 outlets,c_S 0.7). Recognition pending."
North Carolina,MISSING,0,20.0,0.75,20.0,,20.0,FALSE,0,15,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=20.0 (n=15,10 outlets,c_S 0.75). Recognition pending."
North Dakota,MISSING,0,43.75,0.4,43.8,,43.8,FALSE,0,8,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=43.75 (n=8,6 outlets,c_S 0.4). Recognition pending."
Ohio,17.0,1.0,50.0,0.7,30.6,,30.6,TRUE,1,14,100%,high,"P=17.0(c_P 1.0) + S=50.0(n=14,10 outlets,c_S 0.7); |P-S|=33.0; DIVERGENCE. Recognition pending."
Oklahoma,MISSING,0,12.5,0.4,12.5,,12.5,FALSE,0,8,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=12.5 (n=8,7 outlets,c_S 0.4). Recognition pending."
Oregon,MISSING,0,33.33,0.6,33.3,,33.3,FALSE,0,12,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=33.33 (n=12,7 outlets,c_S 0.6). Recognition pending."
Pennsylvania,MISSING,0,30.0,0.75,30.0,,30.0,FALSE,0,15,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=30.0 (n=15,11 outlets,c_S 0.75). Recognition pending."
Rhode Island,60.0,0.6,25.0,0.6,42.5,,42.5,TRUE,1,12,100%,medium,"P=60.0(c_P 0.6) + S=25.0(n=12,7 outlets,c_S 0.6); |P-S|=35.0; DIVERGENCE. Recognition pending."
South Carolina,43.0,1.0,60.0,0.5,48.7,,48.7,FALSE,1,10,100%,high,"P=43.0(c_P 1.0) + S=60.0(n=10,7 outlets,c_S 0.5); |P-S|=17.0; no divergence. Recognition pending."
South Dakota,70.0,0.6,60.0,0.75,64.4,,64.4,FALSE,1,15,100%,medium,"P=70.0(c_P 0.6) + S=60.0(n=15,10 outlets,c_S 0.75); |P-S|=10.0; no divergence. Recognition pending."
Tennessee,MISSING,0,37.5,0.4,37.5,,37.5,FALSE,0,8,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=37.5 (n=8,8 outlets,c_S 0.4). Recognition pending."
Utah,MISSING,0,33.33,0.75,33.3,,33.3,FALSE,0,15,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=33.33 (n=15,15 outlets,c_S 0.75). Recognition pending."
Virginia,MISSING,0,29.17,0.6,29.2,,29.2,FALSE,0,12,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=29.17 (n=12,11 outlets,c_S 0.6). Recognition pending."
Washington,MISSING,0,13.64,0.55,13.6,,13.6,FALSE,0,11,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=13.64 (n=11,10 outlets,c_S 0.55). Recognition pending."
West Virginia,MISSING,0,30.77,0.65,30.8,,30.8,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=30.77 (n=13,8 outlets,c_S 0.65). Recognition pending."
Wisconsin,MISSING,0,34.62,0.65,34.6,,34.6,FALSE,0,13,N/A,low,"SENTIMENT-ONLY (no qualifying poll): D3=S=34.62 (n=13,8 outlets,c_S 0.65). Recognition pending."
