jurisdiction,stability_value,turnover_definition,stability_url,stability_source_type,stability_confidence,stability_scope_flag,stability_source_year,stability_higher_ed_status,stability_fact_check_result,vacancy_value,vacancy_url,vacancy_source_type,vacancy_confidence,vacancy_scope_flag,vacancy_source_year,vacancy_higher_ed_status,vacancy_fact_check_result,tenure_value,tenure_url,tenure_source_type,tenure_confidence,tenure_scope_flag,tenure_source_year,tenure_higher_ed_status,tenure_fact_check_result,workforce_transparency,stability_score,vacancy_score,tenure_score,transparency_score,dimension2_score,Notes
Hawaii,9.54%,includes_retirements,https://dhrd.hawaii.gov/wp-content/uploads/2026/01/Annual-Report-on-Vacancies-Act-57_Final-amended-signed.pdf,official_recovered,high,"executive_branch civil service (excl DOE, UH, HHSC)",FY2025,excluded,"VERIFIED - DHRD Act 57 report Table 9 Civil Service Turnover Rate = 1,169/12,260 = 9.54% FY25. Native form; in-folder retention 92% (estimated) rejected",24%,https://dhrd.hawaii.gov/wp-content/uploads/2026/01/Annual-Report-on-Vacancies-Act-57_Final-amended-signed.pdf,official_recovered,high,statewide executive-branch civil service positions (classified_only),2025,excluded,"VERIFIED - DHRD Act 57 Table 2: 4,273 vacant / 17,574 civil service HRMS positions = 24% (as of 11/01/2025); text confirms unchanged from 2024. Published figure, not constructed; UH faculty excluded. In-folder 10.2% composite rejected",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - 2025 DHRD Workforce Profile publishes length-of-service only as a binned distribution; averaging bin midpoints is estimation (forbidden). In-folder 11.5 (midpoint estimate) rejected,High - DHRD publishes annual Executive Branch Workforce Profile + Act 57 Vacancy Report (statewide vacancy + 5-yr turnover series). Publishes stability + vacancy; tenure only as distribution,81.6,2.8,,66.7,57.2,Good discipline: refused to average a length-of-service distribution into a tenure figure. DOE teachers (single statewide dept) are NOT in these civil-service figures; DOE/UH/HHSC excluded
Idaho,14.6%,total_separation,https://dhr.idaho.gov/wp-content/uploads/2025/10/FY26_SOSW.pdf,official_recovered,high,statewide_all_agencies,2024 (data pulled FY2025),excluded,VERIFIED - Idaho DHR FY26 State of the State Workforce Report: turnover 14.6% in 2024. Native form; excludes Boise State & Idaho State Univ. In-folder ChatGPT xlsx (14.6% coincidental) traced to primary source,11.2%,https://dhr.idaho.gov/wp-content/uploads/2025/10/FY26_SOSW.pdf,official_recovered,high,statewide_all_agencies,2024 (data pulled FY2025),excluded,VERIFIED - DHR FY26 SOSW: statewide vacancy rate 11.2% in 2024; excludes public university employees. In-folder 8.5% weighted composite rejected,8.3 years,https://dhr.idaho.gov/wp-content/uploads/2025/10/FY26_SOSW.pdf,official_recovered,high,statewide_all_agencies,2025 (data pulled April 2025),excluded,VERIFIED - DHR FY26 SOSW: 'state of Idaho employees have 8.3 years of service'; excludes state university employees,High - DHR publishes annual State of the State Workforce Report covering all three Tier C metrics for statewide exec-branch employees (excl public universities),40.8,83.3,11.1,100.0,65.9,"Cleanest state in the run: all three metrics from one official report, all higher-ed excluded, all in window, all high confidence"
Illinois,NOT_PUBLISHED,,,not_published,,,,,"NOT_PUBLISHED - in-folder retention 90% self-labeled 'Estimated', rejected. Official 2024 CMS Workforce Data Report publishes separation/new-hire COUNTS by agency only, no statewide rate; deriving one is forbidden construction. Reason has no IL figure",8%,https://www.nprillinois.org/illinois/2025-05-19/illinois-state-government-headcount-rises,official_via_secondary,medium,statewide_all_agencies,2025,excluded,CMS/GOMB figure: vacancy rate 14% (2019) -> 8% (2025). Accessible source is NPR IL; underlying CMS press release 503'd. PROVISIONAL - gov-data-via-news (pending ruling 1). In-folder composite (with 'Assumed' components) rejected. Public universities separate (higher ed excluded),NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED at statewide level - 2024 CMS report publishes avg length of service BY AGENCY ONLY (3.6-18.8 yrs); constructing a statewide aggregate is forbidden. In-folder 10.3 'approximated' rejected,"High (data volume) but rate-poor - CMS publishes statutory annual Workforce Data Report (length of service by agency, funded vacancies by agency/month, hires/separations by agency/month) but few clean statewide native RATES",,94.4,,33.3,73.0,"Rich official agency-level COUNTS but no statewide RATES for stability/tenure -> NOT_PUBLISHED under §5 no-construction rule. Vacancy 8% is gov-data-via-news (pending ruling 1). Civic Federation vacancy series exists but is third-party, not in §4 hierarchy - not used | RULING1: vacancy is official data relayed via secondary source -> official_via_secondary, confidence=medium"
Indiana,"approx 25% (turnover, 2021)",total_separation,https://www.in.gov/spd/files/comp-study-report.pdf,official_recovered,low,executive_branch_only,2021,excluded,"VERIFIED verbatim - official Oct 2022 SPD Compensation Study Final Report. Native forms, no conversion. Primary scored figure = one-year NEW-HIRE retention 74% (Q2 2022); turnover >25% is 2021 (STALE), noted only. CAVEAT: new-hire cohort retention is a NARROWER construct than general-workforce retention/turnover",24%,https://www.in.gov/spd/files/comp-study-report.pdf,official_recovered,high,executive_branch_only,2022,excluded,VERIFIED verbatim - 'vacancy rate increased from 14% in 2019 to 21% in 2021 and then 24% in 2022' (official SPD study). Not a composite,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - no average-tenure figure in the SPD study, in-folder files, or web recovery; no Reason tenure for IN",Publishes stability (retention + turnover) and vacancy via SPD Oct 2022 Compensation Study; tenure not published,2.6,2.8,,66.7,25.1,"ONLY retention-primary state so far. IMPORTANT §9 CAVEAT: its 'retention' is a one-year new-hire cohort rate (74%), definitionally NARROWER than the general-workforce stability other states report; and its turnover figure is 2021/STALE. Ranking it in a retention pool of ~1 is coarse. In-folder self-labels retention 'inferred/estimated' but the 74% is a direct quote from the official study, so traced to source | PART2: retention figure (74% new-hire) dropped - turnover-only. Turnover from official SPD Compensation Study: 'peaked at over 25%' in 2021 (imprecise floor, 2021=STALE) -> confidence low"
Iowa,NOT_PUBLISHED,,,not_published,,,,,NOT_PUBLISHED - in-folder 84% retention self-labeled 'Estimated' AND a 100-turnover conversion (rejected on both grounds). data.iowa.gov publishes raw separation COUNTS only; deriving a rate is forbidden. DAS 'Just the Facts' almanac only 2009 (STALE). Reason has no IA figure,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - in-folder 5.1% constructed composite from estimated sectors + a teacher (school-district) rate (population_match fail), rejected; no official statewide vacancy rate",11.8 years,https://www.legis.iowa.gov/docs/publications/FRB/1460601.pdf,official_recovered,high,statewide_all_agencies_excl_regents_and_judicial,FY2023,excluded,VERIFIED verbatim - Iowa LSA Fiscal Research Brief 'FY2023 FTE Positions and Personnel Costs' (Dec 27 2024): avg length of employment 11.8 yrs (FY2023). Excludes Board of Regents (higher ed) and judicial districts,Partial - publishes tenure (LSA brief) + raw headcount/separation counts (data.iowa.gov); does NOT publish statewide turnover or vacancy RATE,,,92.6,33.3,71.8,Only tenure usable. Recurring pattern: raw separation/headcount counts exist on data.iowa.gov but §5 forbids constructing rates -> stability & vacancy NOT_PUBLISHED
Kansas,17.05%,total_separation,https://admin.ks.gov/moduledocuments/embed/3318/Workforce_Report_2025_Final_B2FE7B34EB35D.pdf,official_recovered,high,statewide_all_agencies,FY2025,excluded,VERIFIED - Kansas Workforce Report FY2025: overall statewide turnover 17.05% (down from 18.26% FY2024). Report explicitly restates history to EXCLUDE Regents (higher ed). In-folder retention 81.74% (100-x) rejected. Classified 22.59%/unclassified 15.43% also published,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - report publishes no vacancy rate (counts-only construction forbidden §5); in-folder ~7.9% was a composite incl. school-district teachers, rejected",classified 11 years; unclassified 9 years (no combined published),https://admin.ks.gov/moduledocuments/embed/3318/Workforce_Report_2025_Final_B2FE7B34EB35D.pdf,official_recovered,high,statewide_all_agencies,FY2025,excluded,"VERIFIED - FY2025 report: classified avg length of service 11 yrs, unclassified 9 yrs. NO combined statewide average published; both recorded, none constructed. In-folder weighted 9.7 rejected",Publishes turnover + tenure (annual State Workforce Report); does NOT publish a statewide vacancy rate,22.4,,63.0,66.7,45.4,"SEGMENTED TENURE: classified 11 / unclassified 9, no combined figure - Phase 3 must decide which enters the tenure rank. Higher-ed (Regents) cleanly excluded via report restatement"
Kentucky,14% (reduced from 22% in 2022),total_separation,https://apps.legislature.ky.gov/CommitteeDocuments/10/30732/04-02%20Personnel%20Cabinet%20Compression%20Study%20Response.pdf,official_recovered,high,executive_branch_only,2024,excluded,VERIFIED - official KY Personnel Cabinet letter to House A&R Committee (Oct 8 2024): exec-branch turnover reduced 22%(2022)->14%. Native form; in-folder 25% 'Estimated' and 75% retention (100-x) rejected. Single-agency DCBS figures not used for statewide slot,NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - no official statewide vacancy rate; in-folder 16.37% 'Calculated' composite of estimated sectors rejected; Corrections 53% is single-agency news,NOT_PUBLISHED,,not_published,,,,,"NOT_PUBLISHED - no official tenure figure; in-folder 11 self-labeled 'Estimated', rejected",Publishes exec-branch turnover (Personnel Cabinet); does NOT publish statewide vacancy rate or tenure,52.6,,,33.3,45.8,Single-metric (stability). exec_branch_only scope is a comparability caveat vs statewide states. Source is an official Personnel Cabinet legislative document (not news) - no ruling flag
Louisiana,17.78% total; 12.87% voluntary,total_separation,https://www.civilservice.louisiana.gov/files/publications/annual_reports/AnnualReport24-25.pdf,official_recovered,high,statewide_classified_only (excl unclassified/temp/inter-agency transfers),FY2024-25,excluded,"VERIFIED - LA State Civil Service Annual Report FY2024-25: total turnover 17.78%, voluntary 12.87%. Native form; in-folder 82.22 retention (100-x) rejected. Unclassified (incl higher-ed teaching) excluded",14.0%,https://app2.lla.state.la.us/publicreports.nsf/0/179b2b8e25a04fd686258d2200582d8e/$file/00008d3b.pdf,official_recovered,high,executive_branch_only (all exec-branch agencies on LaGov),FY2024,excluded,"VERIFIED - LA Legislative Auditor staffing report: statewide exec-branch vacancy 'fell to 14.0% in FY2024'. Explicitly excludes higher ed, elected officials, most boards. In-folder 13.28% composite rejected",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - Civil Service gives only a service-length distribution; in-folder 10.5 'implied average' rejected (estimation),Publishes turnover (Civil Service Annual Report) + vacancy (Legislative Auditor); does NOT publish tenure (distribution only),15.8,72.2,,66.7,47.4,source_type corrected in-folder->official_recovered (in-folder was rejected SoSI narrative; figures web-recovered from Civil Service board + state auditor). Voluntary breakout (12.87%) available per §2 if voluntary preferred
Maine,NOT_PUBLISHED,,,not_published,,,,,NOT_PUBLISHED - in-folder 88% retention self-labeled 'Estimated' AND 100-turnover off a separations count (double-forbidden). Attrition 8%/6% are budget assumptions not turnover; BLS JOLTS all-industry (population_match fail); no Reason figure,16.2%,https://www.maine.gov/dafs/sites/maine.gov.dafs/files/2025-03/Vacancy%20Rates%20as%20of%203-1-23.pdf,official_recovered,low,statewide_executive_branch (excl Legislative and Judicial),2023,excluded,"BORDERLINE (pending ruling 3) - official DAFS 'Vacancy Rates as of 3/1/2023'; grand-total division 2,111 vacant / 13,044 = 16.2%. NOT a cross-sector composite but IS derived from counts, which §5 arguably bars. Corroborated by DAFS C&C report ('closer to 16%'). Confidence set low pending ruling. In-folder 13.5% adjusted composite rejected",NOT_PUBLISHED,,not_published,,,,,NOT_PUBLISHED - in-folder 12 self-labeled 'Estimated' from age demographics; no official average-tenure figure located,Partial - DAFS publishes point-in-time vacancy data by agency; no published turnover/retention rate or tenure located,,55.6,,33.3,47.8,"PENDING RULING 3 (new): Maine vacancy 16.2% is a GRAND-TOTAL division from an official document explicitly titled 'Vacancy Rates' - handled OPPOSITE to MD/MS/KS/MN/IA/IL/MO where count-derived vacancy went NOT_PUBLISHED. Needs a rule on whether a single grand-total division in a vacancy report is a read or forbidden construction. Recorded provisionally (low confidence) | RULING3: vacancy rate computed from published counts (grand-total division) -> kept, confidence=low"
Maryland,SPMS 8%; MDOT 9% (no combined published),total_separation,https://dbm.maryland.gov/employees/Documents/Annual-Personnel-Report-for-FY24.pdf,official_recovered,high,"executive_branch_only (SPMS + MDOT, reported separately)",FY2024,excluded,"VERIFIED - DBM FY24 Annual Personnel Report p.11: 'Turnover % for FY24' = 8% (SPMS), 9% (MDOT), = departures/total positions on last FY day. Native rounded values as published. In-folder retention 91.76% (conversion) and turnover 8.24% (constructed composite) rejected",NOT_PUBLISHED,https://dbm.maryland.gov/employees/Documents/Annual-Personnel-Report-for-FY24.pdf,not_published,,,,,"NOT_PUBLISHED - DBM publishes filled/vacant COUNTS only (SPMS 5,160 vacant of 44,990; MDOT 398 of 6,451), no rate; deriving one is inference (§5). In-folder 9.56% was a composite of cherry-picked agency dashboards + a K-12 teacher rate (population_match fail), rejected","SPMS 12 years; MDOT 11 years (also NON-SPMS 9, MDTA 12, MTA 13)",https://dbm.maryland.gov/employees/Documents/Annual-Personnel-Report-for-FY24.pdf,official_recovered,high,executive_branch_only (SPMS + MDOT),FY2024,excluded,"VERIFIED - DBM FY24 p.2 'Average Employee Length of Service': SPMS 12, MDOT 11 (whole years). In-folder 11.87 (constructed weighted composite) rejected",High - DBM Annual Personnel Report publishes turnover % and avg length of service natively; publishes vacancy as counts only (not a rate),94.7,,98.1,66.7,85.5,"source_type corrected in-folder->official_recovered (DBM PDF web-recovered; in-folder workbook rejected). SEGMENTED (SPMS/MDOT), no combined - same Phase-3 issue as Kansas. NEW-METHOD VALIDATION: prior audit recorded a 9.56% composite vacancy (even mis-averaged); this run correctly returns NOT_PUBLISHED"
